source_record_id,property_code,condition,normalized_value,measured_value,source_unit,normalized_value_si,measured_value_si,si_unit,source_url,source_locator,data_role
NCAMP-T2-1-001,F1tu_from_LT_ksi,CTD,357.39,353.7,ksi,2464117309.0053115,2438675654.5935216,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-002,F1tu_from_LT_ksi,RTD,362.69,371.08,ksi,2500659522.659102,2558506536.348781,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-003,F1tu_from_LT_ksi,ETW,333.5,327.96,ksi,2299401557.271528,2261204601.8673773,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-004,E1t_Msi,CTD,22.57,22.33,Msi,155614672106.80176,153959930356.44144,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-005,E1t_Msi,RTD,22.99,23.51,Msi,158510470169.9323,162095743962.3797,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-006,E1t_Msi,ETW,24.0,23.77,Msi,165474175036.032,163888380858.60336,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-007,nu12t,CTD,,0.27,,,0.27,,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-008,nu12t,RTD,,0.316,,,0.316,,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-009,nu12t,ETW,,0.393,,,0.393,,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-010,F2tu_ksi,CTD,,9.6,ksi,,66189670.0144128,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
