material_id,property,value_si,unit_si,experimental_property_code,selection_basis,source_url,source_locator
IM7_8552_NCAMP_RTD_MEASURED_V1,E1,162095743962,Pa,E1t_Msi,RTD measured mean,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
IM7_8552_NCAMP_RTD_MEASURED_V1,E2,8963184481.12,Pa,E2t_Msi,RTD measured mean,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
IM7_8552_NCAMP_RTD_MEASURED_V1,G12,4688434959.35,Pa,G12_Msi,RTD measured mean,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
IM7_8552_NCAMP_RTD_MEASURED_V1,nu12,0.316,,nu12t,RTD measured mean,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
IM7_8552_NCAMP_RTD_MEASURED_V1,Xt,2558506536.35,Pa,F1tu_from_LT_ksi,RTD measured mean,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
IM7_8552_NCAMP_RTD_MEASURED_V1,Xc,1731480399.03,Pa,F1cu_ksi,RTD measured mean,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
IM7_8552_NCAMP_RTD_MEASURED_V1,Yt,64052295.2535,Pa,F2tu_ksi,RTD measured mean,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
IM7_8552_NCAMP_RTD_MEASURED_V1,Yc,285718742.229,Pa,F2cu_ksi,RTD measured mean,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
IM7_8552_NCAMP_RTD_MEASURED_V1,S,91148691.4157,Pa,F12s_5pct_ksi,RTD measured mean,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
IM7_8552_NCAMP_RTD_MEASURED_V1,ply_thickness,0.00018288,m,nominal_CPT,NCAMP normalization CPT,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
IM7_8552_NCAMP_RTD_MEASURED_V1,density,1580,kg/m^3,laminate_density,Representative physical-property value in report,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1 or physical-property table"
