record_id,canonical_layup_hash,equivalence_group_hash,layup_deg,n_plies,thickness_mm,areal_mass_kg_m2,material_id,fidelity,split,balanced,symmetric,max_contiguity,max_disorientation_deg,min_orientation_fraction,rule_valid,count_0,count_p45,count_m45,count_90,xiA1,xiA2,xiA3,xiA4,xiD1,xiD2,xiD3,xiD4,A11_N_per_m,A12_N_per_m,A16_N_per_m,A22_N_per_m,A26_N_per_m,A66_N_per_m,D11_N_m,D12_N_m,D16_N_m,D22_N_m,D26_N_m,D66_N_m,Ex_GPa,Ey_GPa,Gxy_GPa,nu_xy,beam_EIx_N_m2,beam_EIy_N_m2,Nx_tsai_hill_capacity_N_per_m,Nx_max_stress_capacity_N_per_m,Ny_tsai_hill_capacity_N_per_m,Ny_max_stress_capacity_N_per_m,Nxy_tsai_hill_capacity_N_per_m,Nxy_max_stress_capacity_N_per_m,Mx_tsai_hill_capacity_N,Mx_max_stress_capacity_N,My_tsai_hill_capacity_N,My_max_stress_capacity_N,Mxy_tsai_hill_capacity_N,Mxy_max_stress_capacity_N
NEX-000001,87b09270cf3e75a93a4603250462aee851dd7f9b8b1d002bb817e0730044fd05,87b09270cf3e75a93a4603250462aee851dd7f9b8b1d002bb817e0730044fd05,-45;0;45;90;90;45;0;-45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,validation,True,True,2,45,0.25,True,2,2,2,2,-2.010153312e-17,-2.220446049e-16,8.326672685e-17,-6.123233996e-17,0.28125,-0.375,-0.46875,-6.123233996e-17,98842250.7,31152420.3,2.793967724e-09,98842250.7,6.519258022e-09,33844915.2,21.4767611,7.36184509,-4.709131629,10.17484519,-4.709131629,7.842115735,60.84853816,60.84853816,23.13328084,0.3151731176,0.5369190274,0.2543711297,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,227.1011967,260.4991734,75.97182637,87.62121806,77.77366174,81.65854195
NEX-000002,3dc6d5c5e0984edae1b8ee01de01d9c64b6ca472f96d0c48b8cf5249235cf3d9,3dc6d5c5e0984edae1b8ee01de01d9c64b6ca472f96d0c48b8cf5249235cf3d9,-45;0;90;45;45;90;0;-45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,train,True,True,2,90,0.25,True,2,2,2,2,-1.172460478e-16,0,-2.775557562e-17,-6.123233996e-17,0.1875,-0.1875,-0.5625,-9.567553118e-17,98842250.7,31152420.3,-4.656612873e-09,98842250.7,-9.313225746e-10,33844915.2,20.49564262,6.459310913,-5.650957954,12.96103202,-5.650957954,6.939581558,60.84853816,60.84853816,23.13328084,0.3151731176,0.5123910655,0.3240258004,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,175.9184629,206.485006,85.71429424,95.64521192,55.19063229,57.0439252
NEX-000003,5f47f7ecc0e21501656fae3643797f01e9776a95ceb303fc6b5fae870235fb99,5f47f7ecc0e21501656fae3643797f01e9776a95ceb303fc6b5fae870235fb99,-45;45;0;90;90;0;45;-45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,train,True,True,2,90,0.25,True,2,2,2,2,1.540859631e-16,1.110223025e-16,-8.326672685e-17,-6.123233996e-17,0.09375,-0.75,-0.28125,-3.827021247e-17,98842250.7,31152420.3,-5.587935448e-09,98842250.7,-1.862645149e-09,33844915.2,15.90438744,9.166913445,-2.825478977,12.13708213,-2.825478977,9.64718409,60.84853816,60.84853816,23.13328084,0.3151731176,0.3976096859,0.3034270534,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,130.0659151,136.5644229,97.86500947,114.5933531,152.8657986,171.0372567
NEX-000004,69620f87ae8886b74afcf8a11c133a5ab02e5f9a44622bc09aa8045a37295759,69620f87ae8886b74afcf8a11c133a5ab02e5f9a44622bc09aa8045a37295759,-45;45;90;0;0;90;45;-45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,validation,True,True,2,90,0.25,True,2,2,2,2,-6.795864186e-17,1.110223025e-16,-8.326672685e-17,-6.123233996e-17,-0.09375,-0.75,-0.28125,-6.123233996e-17,98842250.7,31152420.3,-5.587935448e-09,98842250.7,-1.862645149e-09,33844915.2,12.13708213,9.166913445,-2.825478977,15.90438744,-2.825478977,9.64718409,60.84853816,60.84853816,23.13328084,0.3151731176,0.3034270534,0.3976096859,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,97.86500947,114.5933531,130.0659151,136.5644229,152.8657986,171.0372567
NEX-000005,4ca7ffc71075f0a1b5c952e8cefd4646061a5e1dfb134b624bfe340fb4e375b5,4ca7ffc71075f0a1b5c952e8cefd4646061a5e1dfb134b624bfe340fb4e375b5,-45;90;0;45;45;0;90;-45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,train,True,True,2,90,0.25,True,2,2,2,2,1.88065284e-16,0,-2.775557562e-17,-6.123233996e-17,-0.1875,-0.1875,-0.5625,-1.415997862e-16,98842250.7,31152420.3,-4.656612873e-09,98842250.7,-9.313225746e-10,33844915.2,12.96103202,6.459310913,-5.650957954,20.49564262,-5.650957954,6.939581558,60.84853816,60.84853816,23.13328084,0.3151731176,0.3240258004,0.5123910655,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,85.71429424,95.64521192,175.9184629,206.485006,55.19063229,57.0439252
NEX-000006,933c7bbe5496181ec57e5af57b124856c51c307c548143923a5da804d0b484b1,933c7bbe5496181ec57e5af57b124856c51c307c548143923a5da804d0b484b1,-45;90;45;0;0;45;90;-45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,test,True,True,2,45,0.25,True,2,2,2,2,6.316519373e-17,-2.220446049e-16,8.326672685e-17,-6.123233996e-17,-0.28125,-0.375,-0.46875,-1.301187224e-16,98842250.7,31152420.3,2.793967724e-09,98842250.7,6.519258022e-09,33844915.2,10.17484519,7.36184509,-4.709131629,21.4767611,-4.709131629,7.842115735,60.84853816,60.84853816,23.13328084,0.3151731176,0.2543711297,0.5369190274,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,75.97182637,87.62121806,227.1011967,260.4991734,77.77366174,81.65854195
NEX-000007,d41e436143f678498e78a938c4cc2b6f3ab4d55736e9d9240b1ffc1aaa198c87,5f47f7ecc0e21501656fae3643797f01e9776a95ceb303fc6b5fae870235fb99,45;-45;0;90;90;0;-45;45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,train,True,True,2,90,0.25,True,2,2,2,2,1.540859631e-16,1.110223025e-16,1.387778781e-16,-6.123233996e-17,0.09375,-0.75,0.28125,3.061616998e-17,98842250.7,31152420.3,5.587935448e-09,98842250.7,9.313225746e-09,33844915.2,15.90438744,9.166913445,2.825478977,12.13708213,2.825478977,9.64718409,60.84853816,60.84853816,23.13328084,0.3151731176,0.3976096859,0.3034270534,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,130.0659151,136.5644229,97.86500947,114.5933531,152.8657986,171.0372567
NEX-000008,ef0b0a5a42d53c18736e8cf3c27d81a7ede959bc828ac0ec4e70618c62906e3b,69620f87ae8886b74afcf8a11c133a5ab02e5f9a44622bc09aa8045a37295759,45;-45;90;0;0;90;-45;45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,validation,True,True,2,90,0.25,True,2,2,2,2,-6.795864186e-17,1.110223025e-16,1.387778781e-16,-6.123233996e-17,-0.09375,-0.75,0.28125,7.654042495e-18,98842250.7,31152420.3,5.587935448e-09,98842250.7,9.313225746e-09,33844915.2,12.13708213,9.166913445,2.825478977,15.90438744,2.825478977,9.64718409,60.84853816,60.84853816,23.13328084,0.3151731176,0.3034270534,0.3976096859,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,97.86500947,114.5933531,130.0659151,136.5644229,152.8657986,171.0372567
NEX-000009,0203b18ab9076954fe04a528fab9c9621b1cc11f5b9e0f91b24061532767e3ff,87b09270cf3e75a93a4603250462aee851dd7f9b8b1d002bb817e0730044fd05,45;0;-45;90;90;-45;0;45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,validation,True,True,2,45,0.25,True,2,2,2,2,-2.010153312e-17,-2.220446049e-16,0,-6.123233996e-17,0.28125,-0.375,0.46875,5.357829746e-17,98842250.7,31152420.3,-2.793967724e-09,98842250.7,9.313225746e-10,33844915.2,21.4767611,7.36184509,4.709131629,10.17484519,4.709131629,7.842115735,60.84853816,60.84853816,23.13328084,0.3151731176,0.5369190274,0.2543711297,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,227.1011967,260.4991734,75.97182637,87.62121806,77.77366174,81.65854195
NEX-000010,89f0da5127e285439be12ead6ca81f026c46f25d910578574932eb24320d075b,3dc6d5c5e0984edae1b8ee01de01d9c64b6ca472f96d0c48b8cf5249235cf3d9,45;0;90;-45;-45;90;0;45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,train,True,True,2,90,0.25,True,2,2,2,2,-1.172460478e-16,0,9.714451465e-17,-6.123233996e-17,0.1875,-0.1875,0.5625,4.209723372e-17,98842250.7,31152420.3,4.656612873e-09,98842250.7,8.381903172e-09,33844915.2,20.49564262,6.459310913,5.650957954,12.96103202,5.650957954,6.939581558,60.84853816,60.84853816,23.13328084,0.3151731176,0.5123910655,0.3240258004,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,175.9184629,206.485006,85.71429424,95.64521192,55.19063229,57.0439252
NEX-000011,97cbd746bcbb1f918224265e9da6ac0159506231115ca64d2d3e7193eb435327,933c7bbe5496181ec57e5af57b124856c51c307c548143923a5da804d0b484b1,45;90;-45;0;0;-45;90;45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,test,True,True,2,45,0.25,True,2,2,2,2,6.316519373e-17,-2.220446049e-16,0,-6.123233996e-17,-0.28125,-0.375,0.46875,-1.530808499e-17,98842250.7,31152420.3,-2.793967724e-09,98842250.7,9.313225746e-10,33844915.2,10.17484519,7.36184509,4.709131629,21.4767611,4.709131629,7.842115735,60.84853816,60.84853816,23.13328084,0.3151731176,0.2543711297,0.5369190274,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,75.97182637,87.62121806,227.1011967,260.4991734,77.77366174,81.65854195
NEX-000012,e42dd6c0c00c0cc7601a79ff9158cd970259f0346c4e74850f8512bedaec5d66,4ca7ffc71075f0a1b5c952e8cefd4646061a5e1dfb134b624bfe340fb4e375b5,45;90;0;-45;-45;0;90;45,8,1.46304,2.3116032,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,train,True,True,2,90,0.25,True,2,2,2,2,1.88065284e-16,0,9.714451465e-17,-6.123233996e-17,-0.1875,-0.1875,0.5625,-3.827021247e-18,98842250.7,31152420.3,4.656612873e-09,98842250.7,8.381903172e-09,33844915.2,12.96103202,6.459310913,5.650957954,20.49564262,5.650957954,6.939581558,60.84853816,60.84853816,23.13328084,0.3151731176,0.3240258004,0.5123910655,683402.2354,702645.1059,683402.2354,702645.1059,502474.6611,657984.969,85.71429424,95.64521192,175.9184629,206.485006,55.19063229,57.0439252
NEX-000013,590021cf9c9bddc888c95fca25cfba1f0ab66c2fa114bc114fe1f16c6352f007,590021cf9c9bddc888c95fca25cfba1f0ab66c2fa114bc114fe1f16c6352f007,-45;-45;0;45;45;90;90;45;45;0;-45;-45,12,2.19456,3.4674048,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,validation,True,True,2,45,0.1666666667,True,2,4,4,2,2.40831778e-17,-0.3333333333,0,-4.082155997e-17,0.1666666667,-0.6481481481,-0.5833333333,-7.257166217e-17,134770602.4,60221404.12,0,134770602.4,3.725290298e-09,64260146.46,60.2765418,29.28368689,-19.77835284,37.67270999,-19.77835284,30.90460031,49.14927964,49.14927964,29.2815628,0.4468437704,1.506913545,0.9418177497,841802.8469,892568.6475,841802.8469,892568.6475,954030.9119,1249292.847,350.1908703,389.2175322,164.5915896,209.7690905,177.3776415,183.8592739
NEX-000014,7cd17a00568fa615255c0541eebf99be1e8d2f02ae173f393a1f4d27a00cc3e6,7cd17a00568fa615255c0541eebf99be1e8d2f02ae173f393a1f4d27a00cc3e6,-45;-45;0;45;90;45;45;90;45;0;-45;-45,12,2.19456,3.4674048,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,train,True,True,2,45,0.1666666667,True,2,4,4,2,-3.672397815e-18,-0.3333333333,0,-4.082155997e-17,0.1388888889,-0.5925925926,-0.6111111111,-8.277705216e-17,134770602.4,60221404.12,-3.725290298e-09,134770602.4,0,64260146.46,59.29542333,28.38115271,-20.72017917,40.45889682,-20.72017917,30.00206613,49.14927964,49.14927964,29.2815628,0.4468437704,1.482385583,1.01147242,841802.8469,892568.6475,841802.8469,892568.6475,954030.9119,1249292.847,347.0137606,430.9669041,180.3615544,229.2153731,163.148934,168.062207
NEX-000015,433038a8f70ce763d34603679fe09d734a4b73e0529a2a7e5fafd26232a4ad21,433038a8f70ce763d34603679fe09d734a4b73e0529a2a7e5fafd26232a4ad21,-45;-45;45;0;45;90;90;45;0;45;-45;-45,12,2.19456,3.4674048,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,train,True,True,2,90,0.1666666667,True,2,4,4,2,7.081923622e-17,-0.3333333333,-2.775557562e-17,-4.082155997e-17,0.08333333333,-0.8148148148,-0.5,-6.236627218e-17,134770602.4,60221404.12,-3.725290298e-09,134770602.4,0,64260146.46,51.91798132,31.99128942,-16.95287386,40.61606541,-16.95287386,33.61220284,49.14927964,49.14927964,29.2815628,0.4468437704,1.297949533,1.015401635,841802.8469,892568.6475,841802.8469,892568.6475,954030.9119,1249292.847,252.9429503,268.4890621,184.1818439,223.0689741,253.3774888,265.5111524
NEX-000016,fa14d3baebec9cfed267c45c2afd027d7eab2ade4f889fa7ade5928eb9247453,fa14d3baebec9cfed267c45c2afd027d7eab2ade4f889fa7ade5928eb9247453,-45;-45;45;0;90;45;45;90;0;45;-45;-45,12,2.19456,3.4674048,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,train,True,True,2,90,0.1666666667,True,2,4,4,2,4.30636606e-17,-0.3333333333,-5.551115123e-17,-4.082155997e-17,0.05555555556,-0.7592592593,-0.5277777778,-7.257166217e-17,134770602.4,60221404.12,-7.450580597e-09,134770602.4,-3.725290298e-09,64260146.46,50.93686284,31.08875524,-17.89470019,43.40225224,-17.89470019,32.70966867,49.14927964,49.14927964,29.2815628,0.4468437704,1.273421571,1.085056306,841802.8469,892568.6475,841802.8469,892568.6475,954030.9119,1249292.847,265.8569598,299.8810197,212.0031848,263.6980097,235.1741737,244.822865
NEX-000017,9836e74366d37c2cd3e16137fcfa9fbcedc5b7d92f725c1a93f3500dbbb86501,9836e74366d37c2cd3e16137fcfa9fbcedc5b7d92f725c1a93f3500dbbb86501,-45;-45;45;45;0;90;90;0;45;45;-45;-45,12,2.19456,3.4674048,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,validation,True,True,2,90,0.1666666667,True,2,4,4,2,7.592193122e-17,-0.3333333333,-2.775557562e-17,-4.082155997e-17,0.02777777778,-0.9259259259,-0.4444444444,-5.556267885e-17,134770602.4,60221404.12,-3.725290298e-09,134770602.4,0,64260146.46,46.34560766,33.79635777,-15.06922121,42.57830236,-15.06922121,35.4172712,49.14927964,49.14927964,29.2815628,0.4468437704,1.158640191,1.064457559,841802.8469,892568.6475,841802.8469,892568.6475,954030.9119,1249292.847,185.0347697,193.5806732,168.8071924,182.747475,303.1634107,321.2779588
NEX-000018,93405b9351341a941c59cd4282d53367cb9aaace52b6720d87e50f3b0940b04c,93405b9351341a941c59cd4282d53367cb9aaace52b6720d87e50f3b0940b04c,-45;-45;45;45;90;0;0;90;45;45;-45;-45,12,2.19456,3.4674048,IM7_8552_NCAMP_RTD_MEASURED_V1,F0_CLT,test,True,True,2,90,0.1666666667,True,2,4,4,2,-7.34479563e-18,-0.3333333333,-2.775557562e-17,-4.082155997e-17,-0.02777777778,-0.9259259259,-0.4444444444,-6.236627218e-17,134770602.4,60221404.12,-3.725290298e-09,134770602.4,0,64260146.46,42.57830236,33.79635777,-15.06922121,46.34560766,-15.06922121,35.4172712,49.14927964,49.14927964,29.2815628,0.4468437704,1.064457559,1.158640191,841802.8469,892568.6475,841802.8469,892568.6475,954030.9119,1249292.847,168.8071924,182.747475,185.0347697,193.5806732,303.1634107,321.2779588
