sequence_id,specimen_id,material_family,geometry,inspection_side,frame_rate_hz,reported_frames,reported_resolution_px,plate_dimensions_mm,defect_surrogate,reported_defect_count,reported_defect_depth_range_mm,reported_defect_size_range_mm,source_file_size_bytes,repository_file_id,download_url,source_dataset_doi,associated_article_doi,licence,recommended_split,checksum_status
CFRP-006_back,CFRP-006,CFRP,planar,back,120,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,546057230,3c430a30-97f6-41b0-b383-5f4a2cec1364,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/3c430a30-97f6-41b0-b383-5f4a2cec1364/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,train,not_supplied_by_repository_api; compute_after_download
CFRP-006_front,CFRP-006,CFRP,planar,front,145,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,538735726,a88624e0-63fc-4616-9fac-93866a9542eb,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/a88624e0-63fc-4616-9fac-93866a9542eb/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,train,not_supplied_by_repository_api; compute_after_download
CFRP-007_back,CFRP-007,CFRP,curved,back,120,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,547332235,66e6218a-5b5c-4332-84fc-0e9c3ef2eb3d,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/66e6218a-5b5c-4332-84fc-0e9c3ef2eb3d/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,train,not_supplied_by_repository_api; compute_after_download
CFRP-007_front,CFRP-007,CFRP,curved,front,145,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,538799283,28753602-2e01-43c5-a803-4f1bfa4edcff,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/28753602-2e01-43c5-a803-4f1bfa4edcff/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,train,not_supplied_by_repository_api; compute_after_download
CFRP-008_back,CFRP-008,CFRP,trapezoidal,back,120,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,535407311,0b7c8b2a-06cc-4272-b20f-ae0c059fea1f,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/0b7c8b2a-06cc-4272-b20f-ae0c059fea1f/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,validation,not_supplied_by_repository_api; compute_after_download
CFRP-008_front,CFRP-008,CFRP,trapezoidal,front,145,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,551761598,6ce9b367-566c-41bb-b93c-6c78938f632a,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/6ce9b367-566c-41bb-b93c-6c78938f632a/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,validation,not_supplied_by_repository_api; compute_after_download
GFRP-006_back,GFRP-006,GFRP,planar,back,120,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,564843091,b47c668f-1472-4223-98bf-036b3737b027,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/b47c668f-1472-4223-98bf-036b3737b027/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,train,not_supplied_by_repository_api; compute_after_download
GFRP-006_front,GFRP-006,GFRP,planar,front,145,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,570871749,46c0bd4f-d407-43e5-b0e8-71a3ee04430a,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/46c0bd4f-d407-43e5-b0e8-71a3ee04430a/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,train,not_supplied_by_repository_api; compute_after_download
GFRP-007_back,GFRP-007,GFRP,curved,back,120,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,538731688,0285f679-9e37-40d4-92bc-9c1ed46fa593,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/0285f679-9e37-40d4-92bc-9c1ed46fa593/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,train,not_supplied_by_repository_api; compute_after_download
GFRP-007_front,GFRP-007,GFRP,curved,front,145,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,545677702,97363b5f-9f7e-436a-bac2-8e46155ec36c,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/97363b5f-9f7e-436a-bac2-8e46155ec36c/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,train,not_supplied_by_repository_api; compute_after_download
GFRP-008_back,GFRP-008,GFRP,trapezoidal,back,120,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,538493168,227127e0-bff4-4173-b203-10ba46f4b5d8,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/227127e0-bff4-4173-b203-10ba46f4b5d8/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,test,not_supplied_by_repository_api; compute_after_download
GFRP-008_front,GFRP-008,GFRP,trapezoidal,front,145,2000,512x512,300x300x2,Teflon inserts representing delamination,25,0.2-1.0,3-15,539184405,d53a3cd3-4b13-4c71-bee0-3b4026068cca,https://data.mendeley.com/public-files/datasets/v4knrwgj9y/files/d53a3cd3-4b13-4c71-bee0-3b4026068cca/file_downloaded,https://doi.org/10.17632/v4knrwgj9y.2,https://doi.org/10.1016/j.dib.2020.106313,CC BY 4.0,test,not_supplied_by_repository_api; compute_after_download
